user_id,text_id,session_order,score,weak_topics,timestamp
11,10,0,70.0,"Espacios de Color|Interpretación de Datos de Imagen|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-31T12:30:40.381925
11,10,0,75.0,Estructura de Datos de Imagen en Color|Cuantificación de Intensidad|Almacenamiento de Imagen RGB|Metodología Académica|Análisis Crítico del Modelo de Representación,2025-12-31T12:35:59.651639
11,10,1,65.0,"Naturaleza de la Función de Imagen|Interpretación de Datos de Imagen|Almacenamiento de Imagen RGB|Descomposición de Canales de Color|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-31T12:41:31.606652
11,10,2,65.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Impacto de la Resolución|Almacenamiento de Imagen RGB|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-31T12:47:08.590135
12,10,0,40.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Procesamiento en FPGA|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-31T12:56:07.752674
12,10,0,40.0,"Concepto de Píxel|Naturaleza de la Función de Imagen|Espacios de Color|Cuantificación de Intensidad|Impacto de la Resolución|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-31T13:01:15.644721
12,10,1,45.0,"Estructura de Datos de Imagen en Color|Naturaleza de la Función de Imagen|Espacios de Color|Interpretación de Datos de Imagen|Impacto de la Resolución|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Metodología Académica|Análisis Crítico del Modelo de Representación",2025-12-31T13:11:17.710836
12,10,0,25.0,"Definición Formal de Imagen Digital|Concepto de Píxel|Definición de Resolución de Imagen|Naturaleza de la Función de Imagen|Espacios de Color|Interpretación de Datos de Imagen|Impacto de la Resolución|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-31T13:26:06.252674
12,10,2,35.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución",2025-12-31T13:38:53.817714
13,10,0,35.0,"Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Espacios de Color|Interpretación de Datos de Imagen|Impacto de la Resolución|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Análisis Crítico del Modelo de Representación|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-31T13:50:47.506812
14,10,0,50.0,"Definición Formal de Imagen Digital|Definición de Resolución de Imagen|Espacios de Color|Impacto de la Resolución|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-31T14:01:03.816190
15,10,0,45.0,"Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Impacto de la Resolución|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Evaluación de la Relación Calidad-Resolución",2025-12-31T14:15:36.159718
16,10,0,75.0,"Espacios de Color|Interpretación de Datos de Imagen|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color",2025-12-31T14:26:27.513264
16,10,0,45.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Representación Matricial de Imágenes|Naturaleza de la Función de Imagen|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Almacenamiento de Imagen RGB|Contexto del Capítulo|Metodología Académica|Generalización del Modelo f(x,y)",2025-12-31T14:36:37.809555
16,10,1,85.0,Concepto de Píxel|Almacenamiento de Imagen RGB|Contexto del Capítulo,2025-12-31T14:43:32.363252
17,10,0,50.0,"Definición Formal de Imagen Digital|Definición de Resolución de Imagen|Espacios de Color|Interpretación de Datos de Imagen|Impacto de la Resolución|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-31T14:50:45.464573
18,10,0,55.00000000000001,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Espacios de Color|Interpretación de Datos de Imagen|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-31T14:59:15.427818
19,10,0,45.0,"Definición Formal de Imagen Digital|Definición de Resolución de Imagen|Espacios de Color|Interpretación de Datos de Imagen|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Contexto del Capítulo|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color|Generalización del Modelo f(x,y)",2025-12-31T15:11:56.133031
19,10,0,100.0,,2025-12-31T15:17:21.513390
19,10,1,90.0,Metodología Académica|Evaluación de la Relación Calidad-Resolución,2025-12-31T15:23:09.380826
19,10,2,75.0,"Espacios de Color|Interpretación de Datos de Imagen|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color",2025-12-31T15:23:52.922182
2,10,0,75.0,"Espacios de Color|Interpretación de Datos de Imagen|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color",2025-12-31T15:51:59.198393
2,10,7,55.00000000000001,Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Definición de Resolución de Imagen|Espacios de Color|Cuantificación de Intensidad|Interpretación de Datos de Imagen|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Comparación de Imágenes Grises y en Color,2025-12-31T15:52:57.786251
20,10,0,65.0,"Definición Formal de Imagen Digital|Espacios de Color|Interpretación de Datos de Imagen|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color",2025-12-31T15:54:57.233061
21,10,0,60.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Concepto de Píxel|Espacios de Color|Interpretación de Datos de Imagen|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color",2025-12-31T16:07:39.460513
21,10,0,60.0,"Definición Formal de Imagen Digital|Estructura de Datos de Imagen en Color|Naturaleza de la Función de Imagen|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Evaluación de la Relación Calidad-Resolución|Generalización del Modelo f(x,y)",2025-12-31T16:12:33.455641
21,10,7,60.0,"Definición Formal de Imagen Digital|Espacios de Color|Interpretación de Datos de Imagen|Procesamiento en FPGA|Almacenamiento de Imagen RGB|Aplicación de la Definición f(x,y)|Descomposición de Canales de Color|Comparación de Imágenes Grises y en Color",2025-12-31T16:39:30.815314
